year,sellafield_TBq,la_hague_TBq
1969,444,20.2
1970,1160,89.1
1971,1330,243
1972,1290,32.9
1973,769,69.3
1974,4070,56
1975,5240,34.5
1976,4290,34.7
1977,4480,50.8
1978,4090,39.1
1979,2570,22.5
1980,2970,26.8
1981,2360,38.5
1982,2000,50.4
1983,1200,23
1984,434,29.8
1985,325,29.3
1986,17.9,9.62
1987,11.8,7.6
1988,13,8.46
1989,28.6,12.6
1990,23.5,12.5
1991,15.6,5.6
1992,15.2,2.97
1993,21.9,4.36
1994,13.8,10.5
1995,12.2,4.61
1996,10.3,2.41
1997,7.94,2.46
1998,7.54,2.5
1999,9.12,1.3
2000,6.91,0.871
2001,9.57,1.49
2002,7.69,0.963
2003,6.24,0.757
2004,9.67,0.787
2005,5.86,0.712
2006,5.93,0.623
2007,6.98,1.01
2008,5.11,0.892
2009,4.27,0.941
2010,4.85,0.982
2011,5.86,0.671
2012,3.58,0.4746
2013,2.57,0.487
2014,2.08,0.796
2015,2.31,0.537
2016,2.36,0.616
2017,2.01,0.762
2018,2.22,0.622
2019,0.648,
2020,0.842,0.886
2021,0.725,1.18
