date,activity_concentration
1967-08-19,
1970-08-23,
1970-08-23,
1970-08-23,
1970-08-23,
1972-08-18,
1973-08-18,
1974-08-15,
1975-08-20,
1976-08-21,
1976-12-31,
1977-06-20,
1977-06-20,
1978-05-14,
1978-06-26,
1978-12-24,
1979-04-15,
1979-09-09,1.073
1979-11-25,0.74
1980-03-01,0.777
1980-03-17,0.962
1980-04-07,
1980-05-18,
1980-05-25,0.9805
1980-07-27,
1981-01-03,0.333
1981-05-24,1.48
1981-07-24,0.7585
1981-12-20,
1982-07-11,
1982-09-26,0.851
1982-11-27,
1983-04-03,1.073
1985-01-02,
1985-04-08,
1985-11-17,
1985-12-29,
1986-03-30,
1986-05-04,0.6
1986-10-19,7
1987-08-08,4.4
1987-12-24,2.9
1988-01-23,2.8
1988-06-26,5
1988-08-27,3.8
1988-11-27,3
1988-12-31,3
1989-12-25,2.1
1990-04-16,3.3
1990-05-20,4.2
1990-11-03,1.5
1990-12-15,1.6
1991-01-18,1.3
1991-04-01,1.4
1991-06-09,1.1
1991-08-25,1.4
1991-11-24,
1992-01-19,
1992-03-21,
1992-08-28,
1992-09-26,
1993-03-28,
1993-06-25,
1994-03-31,
1994-05-28,
1994-10-09,
1994-11-20,
1995-02-11,
1995-04-16,
1995-09-23,
1995-11-25,
1995-12-26,
1996-06-16,
1996-09-29,
1996-11-10,
1997-09-28,
1998-07-03,
1998-08-03,
1998-11-08,
1999-07-03,
1999-08-14,
1999-10-15,
1999-12-31,
2000-04-06,
2000-06-05,
2000-07-09,
2000-09-10,
2000-11-12,
2000-11-26,
2000-12-31,
2001-01-01,
2001-04-14,
2001-07-03,
2001-07-28,
2001-08-25,
2001-10-13,
2001-12-15,
2001-12-31,
2002-03-29,
2002-05-26,
2002-08-08,
2002-08-23,
2002-12-01,
2002-12-29,
2003-03-10,
2003-04-20,
2003-06-28,
2003-07-15,
2003-09-07,
2003-10-18,
2003-12-31,
2004-03-06,
2004-04-12,
2004-12-31,
2005-02-24,
2005-03-25,
2005-06-30,
2005-08-03,
2005-12-18,
2005-12-29,
2006-02-25,
2006-04-14,
2006-05-21,
2006-08-01,
2006-12-07,
2007-05-12,
2007-07-22,
2007-09-09,
2007-11-04,
2007-12-16,
2008-01-01,
2008-03-21,
2008-04-26,
2008-05-31,
2008-07-03,
2008-08-16,
2008-11-03,
2008-11-29,
2008-12-31,
2009-03-14,
2009-04-10,
2009-06-21,
2009-07-23,
2009-08-01,
2009-08-08,
2009-09-13,
2009-12-13,
2009-12-30,
2010-04-02,
2010-05-30,
2010-07-03,
2010-07-20,
2010-08-27,
2010-08-28,
2010-10-24,
2010-12-23,
2011-04-22,
2011-05-15,
2011-06-26,
2011-07-20,
2011-08-12,
2011-10-24,
2011-12-30,
2012-01-23,
2012-03-05,
2012-04-08,
2012-04-09,
2012-05-20,
2012-08-05,
2012-10-22,
2012-12-17,
2013-02-17,
2013-05-12,
2013-09-10,
2013-10-27,
2013-12-26,
2014-01-01,
2014-03-18,
2014-04-21,
2014-06-20,
2014-07-20,
2014-09-15,
2014-11-14,
2015-01-19,
2015-04-04,
2015-06-11,
2015-08-04,
2015-10-04,
2015-12-26,
2016-03-06,
2016-05-15,
2016-06-26,
2016-08-15,
2016-10-02,
2016-11-14,
2016-11-14,
2016-12-17,
2017-02-06,
2017-04-15,
2017-06-22,
2017-08-11,
2017-10-15,
2017-12-17,
2018-01-20,
2018-03-18,
2018-05-10,
2018-06-23,
2018-08-29,
2018-10-28,
2018-12-31,
2019-03-07,
2019-05-16,
2019-06-23,
2019-08-29,
2019-10-16,
2019-11-15,
2019-11-15,
2020-01-06,
2020-03-03,
2020-05-02,
2020-06-23,
2020-08-27,
2020-09-29,
2020-12-06,
2021-01-01,
2021-03-17,
2021-05-14,
2021-07-04,
2021-09-15,
2021-10-29,
2021-12-31,
2022-03-01,
