date,activity_1E14_atom_per_kg
1967-07-15,0.0241908973007405
1967-07-15,0.0108074836439006
1976-08-21,0.0798131589381216
1978-06-26,0.05199649943911
1984-08-05,0.244166160364293
1986-07-27,0.41044617601591
1988-06-26,0.279580352909437
1992-07-04,0.393252370205745
1993-06-25,0.905003625031219
1994-06-25,1.05896401316291
1997-07-21,0.484030715041414
1998-07-03,0.429825956887418
1999-07-03,1.65377746388438
2001-07-03,1.50699358401833
2002-08-08,1.76889333262797
2003-06-28,1.56390127523812
2004-06-30,1.99866638525463
2005-06-30,0.262955998000377
2006-08-01,0.86068331580143
2007-06-22,0.262624304118251
2009-06-21,0.991395459913254
2010-07-03,1.37285743620253
2011-06-26,1.330613608892
2013-06-23,3.80755541993865
2014-06-20,4.00952768854942
2014-06-20,1.91690112959395
2014-07-20,1.33050525027437
2015-06-11,4.36520763026042
2015-08-04,2.07965960043948
2016-06-26,5.78353152539617
2016-06-26,14.2141723942353
2016-08-15,1.96792934203646
2017-06-22,1.20301502241631
2017-06-22,5.17228112451306
2017-08-11,1.74068592408859
2017-08-11,3.20059789106262
2018-06-23,0.727127951894097
2018-06-23,0.257050416536949
2019-06-23,1.61340408968215
2021-07-04,1.2867870049729
