date,activity_concentration,uncertainty
2002-03-16,128.5,8.4
2004-06-30,110.5,8.5
2004-09-11,91.7,5
2005-02-24,116.3,9.1
2005-06-30,119.5,11.6
2005-12-29,91.5,5.8
2006-05-21,122.5,6
2006-11-29,67.7,4.7
2007-04-08,74.8,5.3
2007-08-04,53.3,3.9
2007-12-16,44.3,3.2
2008-08-16,35.4,3.3
2008-12-31,61.2,4
2009-03-14,85.1,5.9
2009-06-21,43.7,      
2009-12-30,70.5,13.2
2010-07-20,31.7,    
2023-12-31,14.8,8.5
